"cargo_type,cargo_weight_tons,shipping_month,origin_port,destination_port,origin_efficiency_score,destination_efficiency_score,avg_dwell_time_origin,customs_clearance_score,congestion_index,weather_risk_score,handling_complexity_score,delay,cargo_type_encoded,origin_port_encoded,destination_port_encoded"
"Standard,4.92,8,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.3,0,4,2,1"
"Electronics,10.17,11,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.7,0,0,1,5"
"Standard,7.14,5,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.3,0,4,0,5"
"Standard,6.13,2,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.3,0,4,0,3"
"Fragile,4.88,5,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.8,0,1,2,3"
"Electronics,15.63,10,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.7,0,0,0,2"
"Perishable,7.83,6,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.9,0,3,5,2"
"Standard,11.85,3,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.3,0,4,0,2"
"Electronics,19.14,8,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.7,0,0,0,5"
"Machinery,5.66,6,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.5,0,2,2,4"
"Electronics,15.76,5,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.7,0,0,0,4"
"Electronics,11.41,9,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.7,1,0,3,1"
"Machinery,14.26,6,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.5,0,2,1,2"
"Standard,17.79,1,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.3,0,4,1,5"
"Fragile,2.05,4,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.8,0,1,5,4"
"Machinery,13.83,8,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.5,0,2,5,4"
"Standard,13.23,6,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.3,0,4,2,4"
"Standard,17.02,12,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.3,1,4,3,1"
"Machinery,16.6,7,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.5,1,2,3,0"
"Standard,13.58,7,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.3,0,4,0,3"
"Electronics,17.04,3,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.7,0,0,2,4"
"Machinery,17.38,11,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.5,1,2,4,2"
"Machinery,19.11,12,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.5,1,2,3,5"
"Machinery,1.79,11,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.5,0,2,1,0"
"Standard,19.11,6,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.3,0,4,1,4"
"Fragile,9.93,11,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.8,0,1,5,1"
"Fragile,12.85,6,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.8,1,1,4,2"
"Electronics,10.12,8,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.7,1,0,3,0"
"Electronics,10.11,9,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.7,0,0,0,4"
"Standard,15.76,3,Mumbai,Mundra,0.65,0.9,2.5,0.6,0.6,0.5,0.3,1,4,4,5"
"Standard,1.21,9,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.3,0,4,0,5"
"Electronics,2.72,9,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.7,0,0,1,2"
"Machinery,10.8,2,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.5,0,2,0,1"
"Fragile,4.45,10,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.8,1,1,4,3"
"Perishable,10.78,4,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.9,0,3,2,4"
"Perishable,3.96,4,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.9,0,3,1,3"
"Machinery,9.0,3,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.5,0,2,1,3"
"Standard,0.96,11,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.3,1,4,4,3"
"Standard,14.74,1,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.3,1,4,3,5"
"Perishable,9.27,11,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.9,1,3,3,0"
"Machinery,19.17,5,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.5,1,2,4,1"
"Perishable,8.48,1,Mumbai,Mundra,0.65,0.9,2.5,0.6,0.6,0.5,0.9,1,3,4,5"
"Perishable,14.73,8,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.9,1,3,0,5"
"Electronics,1.57,7,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.7,0,0,2,5"
"Standard,1.12,3,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.3,0,4,0,4"
"Electronics,3.52,8,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.7,0,0,2,5"
"Fragile,15.99,10,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.8,0,1,2,3"
"Perishable,3.27,7,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.9,0,3,1,0"
"Perishable,16.64,1,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.9,1,3,4,1"
"Electronics,7.15,2,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.7,0,0,2,0"
"Standard,6.84,8,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.3,1,4,4,1"
"Machinery,19.43,11,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.5,1,2,3,5"
"Perishable,11.27,2,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.9,0,3,5,1"
"Fragile,15.99,8,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.8,1,1,3,2"
"Electronics,19.31,3,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.7,0,0,0,5"
"Fragile,11.81,2,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.8,0,1,5,3"
"Standard,14.35,9,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.3,0,4,1,2"
"Perishable,4.17,4,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.9,0,3,2,5"
"Electronics,19.45,1,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.7,1,0,3,0"
"Machinery,12.32,10,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.5,1,2,4,3"
"Fragile,6.25,3,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.8,1,1,4,0"
"Electronics,13.04,12,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.7,1,0,3,1"
"Fragile,13.48,4,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.8,0,1,1,5"
"Perishable,14.84,12,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.9,0,3,2,1"
"Fragile,17.41,3,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.8,0,1,5,1"
"Machinery,9.38,8,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.5,0,2,1,3"
"Electronics,0.64,7,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.7,1,0,4,0"
"Standard,8.84,1,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.3,0,4,1,2"
"Machinery,1.7,5,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.5,0,2,1,3"
"Machinery,0.52,4,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.5,0,2,2,3"
"Fragile,3.88,7,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.8,0,1,2,3"
"Perishable,19.79,8,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.9,1,3,3,5"
"Standard,17.45,11,Mumbai,Mundra,0.65,0.9,2.5,0.6,0.6,0.5,0.3,1,4,4,5"
"Fragile,14.64,8,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.8,0,1,2,4"
"Electronics,12.27,10,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.7,0,0,5,3"
"Fragile,3.38,5,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.8,1,1,0,5"
"Electronics,8.82,9,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.7,0,0,0,3"
"Electronics,11.56,4,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.7,1,0,3,1"
"Electronics,3.15,8,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.7,1,0,4,0"
"Fragile,4.84,3,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.8,1,1,4,1"
"Machinery,3.36,12,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.5,0,2,0,3"
"Fragile,15.52,4,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.8,0,1,1,3"
"Fragile,0.93,1,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.8,0,1,1,0"
"Electronics,4.01,12,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.7,1,0,3,2"
"Electronics,5.77,4,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.7,0,0,5,3"
"Standard,3.53,4,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.3,0,4,0,5"
"Machinery,8.87,12,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.5,1,2,4,0"
"Perishable,13.67,9,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.9,0,3,5,0"
"Perishable,17.72,12,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.9,0,3,5,4"
"Machinery,7.97,11,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.5,0,2,1,2"
"Perishable,12.82,4,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.9,1,3,0,4"
"Fragile,9.61,7,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.8,1,1,3,0"
"Fragile,1.72,5,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.8,0,1,2,1"
"Electronics,10.87,1,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.7,0,0,2,1"
"Perishable,11.79,10,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.9,0,3,5,2"
"Machinery,11.21,9,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.5,1,2,3,4"
"Fragile,11.44,9,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.8,1,1,4,1"
"Standard,10.7,10,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.3,0,4,0,1"
"Standard,11.5,1,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.3,1,4,3,4"
"Electronics,3.63,11,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.7,1,0,3,0"
"Electronics,0.75,6,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.7,0,0,2,0"
"Fragile,6.77,3,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.8,0,1,2,0"
"Perishable,16.95,9,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.9,0,3,2,0"
"Standard,7.82,7,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.3,1,4,3,5"
"Electronics,11.27,6,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.7,1,0,4,0"
"Electronics,16.09,6,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.7,0,0,5,2"
"Fragile,0.51,2,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.8,1,1,0,4"
"Perishable,10.56,11,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.9,0,3,1,3"
"Electronics,3.38,11,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.7,0,0,1,4"
"Perishable,19.12,9,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.9,1,3,0,3"
"Electronics,17.78,8,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.7,1,0,4,3"
"Perishable,3.92,7,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.9,1,3,0,1"
"Standard,16.68,3,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.3,1,4,3,2"
"Machinery,8.98,3,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.5,0,2,2,3"
"Standard,9.93,2,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.3,0,4,2,1"
"Standard,15.92,7,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.3,0,4,1,3"
"Electronics,14.95,1,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.7,1,0,4,2"
"Fragile,12.99,1,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.8,1,1,4,2"
"Electronics,8.22,5,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.7,0,0,0,2"
"Electronics,8.29,7,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.7,0,0,5,4"
"Machinery,15.91,3,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.5,1,2,3,5"
"Machinery,17.52,8,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.5,0,2,5,0"
"Fragile,14.46,8,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.8,0,1,5,0"
"Standard,19.21,5,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.3,1,4,3,0"
"Perishable,4.39,5,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.9,1,3,0,3"
"Fragile,10.23,2,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.8,1,1,3,2"
"Fragile,4.77,2,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.8,0,1,2,0"
"Standard,2.22,11,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.3,1,4,4,0"
"Fragile,2.77,2,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.8,0,1,5,2"
"Electronics,1.04,5,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.7,0,0,5,2"
"Electronics,15.85,7,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.7,0,0,2,5"
"Perishable,8.12,9,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.9,0,3,2,0"
"Standard,19.55,2,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.3,1,4,4,3"
"Fragile,18.3,9,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.8,1,1,3,4"
"Fragile,14.41,5,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.8,1,1,4,3"
"Perishable,13.96,2,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.9,1,3,0,3"
"Fragile,9.03,8,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.8,1,1,3,2"
"Fragile,8.71,2,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.8,0,1,2,5"
"Fragile,6.39,2,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.8,1,1,4,1"
"Electronics,8.97,8,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.7,0,0,5,0"
"Perishable,13.04,3,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.9,0,3,5,3"
"Perishable,3.72,6,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.9,1,3,4,0"
"Fragile,13.2,9,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.8,1,1,0,5"
"Fragile,16.84,8,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.8,0,1,2,1"
"Standard,15.45,3,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.3,0,4,1,0"
"Machinery,17.84,1,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.5,0,2,5,2"
"Fragile,10.23,3,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.8,0,1,5,2"
"Electronics,10.3,3,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.7,0,0,1,0"
"Perishable,17.83,9,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.9,0,3,2,5"
"Fragile,16.54,7,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.8,1,1,3,0"
"Standard,5.55,8,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.3,1,4,4,0"
"Electronics,5.03,5,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.7,1,0,3,1"
"Electronics,17.1,2,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.7,0,0,5,3"
"Standard,3.26,8,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.3,0,4,5,4"
"Machinery,6.03,1,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.5,0,2,1,5"
"Perishable,5.38,12,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.9,0,3,2,5"
"Standard,3.2,2,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.3,0,4,5,2"
"Electronics,13.49,9,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.7,1,0,3,1"
"Perishable,3.46,5,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.9,0,3,1,5"
"Perishable,11.54,9,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.9,1,3,0,1"
"Fragile,8.52,6,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.8,0,1,1,3"
"Machinery,9.48,9,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.5,0,2,1,5"
"Perishable,16.95,10,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.9,1,3,0,1"
"Standard,11.86,7,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.3,1,4,3,1"
"Machinery,9.18,8,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.5,1,2,3,5"
"Electronics,10.95,1,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.7,0,0,0,4"
"Perishable,9.15,10,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.9,0,3,2,0"
